ENTITY_ID,ENTITY_LENGTH
1096121,67.29247
1056923,373.20547
178271,308.00952
1746398,289.51312
2744578,142.95934
2379781,654.827
329651,452.885
1906750,417.13733
2801623,271.57138
71357,426.85468
1270530,137.6996
1886541,89.40305
2595910,62.448746
1439947,122.935844
101263,570.3674
1175406,2.5563788
2221368,454.7465
1474311,44.158737
2243909,432.41907
2539766,264.78012
518482,367.65808
1681811,341.16937
2549344,29.998419
2180481,304.22745
2804059,527.10535
2435912,332.78967
2153977,195.6933
1974482,502.69824
2148767,378.71655
2534931,33.12155
1558093,51.69368
1243897,185.18317
2351990,347.3083
1007469,146.85916
880132,722.5965
1113709,78.39265
610483,373.1576
495621,67.262924
2416757,72.721085
2510580,291.2008
2060083,299.30847
821322,324.61093
1840702,161.26363
1654429,309.32086
2830912,256.63083
708951,373.1576
1285207,312.00153
1396640,418.5866
2278867,155.75865
1945640,146.76436
2139615,299.7066
1216233,736.21185
567652,199.43767
1956527,369.14722
1792088,502.6197
1997985,417.2487
2673265,183.66176
2306583,373.1576
183883,565.33685
2909654,81.737526
314839,340.70618
2265138,429.82986
2581707,276.38745
498695,335.47568
1268305,425.4839
1763960,181.55031
776530,494.0675
1453261,426.294
1590946,299.15594
2494174,317.94037
943513,360.078
1626217,462.74646
2191371,269.95166
2746276,316.96967
2149205,471.30328
224723,368.7484
57869,471.75574
636424,373.1576
1455651,605.81195
581083,270.24
2676819,311.9267
1262249,28.14289
2371969,233.67256
1521844,405.1114
1553918,21.417032
267494,183.85577
1856326,107.86625
2592697,297.77835
1109955,407.1638
1030769,3.0546012
812261,207.24466
674957,320.59332
527003,517.8491
93734,444.55637
1117646,135.65498
2465467,426.6904
774255,370.9068
2441226,39.058342
886929,372.87027
1251940,291.66678
243188,367.76196
1436219,404.59573
2474968,625.43884
1518016,392.67444
2614462,355.7878
1368860,5.7832403
735295,548.5733
1180465,279.9674
2112866,4.7938137
322112,293.74945
1365744,468.79404
2246174,272.12042
2484225,97.82375
42803,238.08263
1753135,138.71445
2911040,7.9062634
155672,373.1576
968184,2.1788871
1451326,2.3672228
1301839,567.05023
760995,367.55426
1485236,240.04381
463360,224.59528
589611,373.1576
826423,373.20547
2690150,335.38068
1177578,170.58302
2365221,155.83325
1765529,220.99715
267639,344.02045
1377115,10.914848
2666732,240.60175
1349187,67.87346
1348400,181.69354
1404731,8.879511
2619662,187.62431
568745,544.3263
973410,306.3045
866741,418.83386
598544,433.64575
2919302,686.6764
2854392,131.97156
308097,359.37872
1041347,101.51788
1944567,168.29465
883289,105.314125
2320223,189.55913
2634338,204.00772
15497,370.38004
1715124,299.51746
49590,236.03687
2837083,214.11354
1127228,362.93353
1840139,388.81622
206624,504.1753
1178324,567.3451
1461232,206.07883
1370308,188.5242
2928924,471.6623
2956891,375.9571
20945,514.5701
1849183,439.38858
2700963,21.595093
1639453,128.35023
76824,379.46832
271616,382.46762
2070337,104.98503
185189,313.85486
1297393,20.496529
2824050,60.406097
915137,285.05487
2555819,343.79443
2584928,162.1135
641872,368.4369
1102112,141.9219
130941,235.78888
181144,438.97272
1323464,367.08215
1938950,33.524284
1840031,129.39651
278164,567.05023
176473,314.92822
10285,516.45355
251676,367.86572
1221210,432.7538
46558,222.79318
1939994,80.24322
1997250,328.38214
628881,664.13354
1855264,372.57086
724051,11.933319
2542299,267.43146
2511704,302.6889
51184,281.1296
1191126,380.8182
1445177,294.04303
222918,367.19086
1069246,342.27
2641353,315.11835
1892568,133.38054
2211044,195.29358
198961,553.63586
2019401,224.84705
823461,145.41966
2100009,385.65167
1136987,163.23367
397413,270.33902
1575924,47.665215
2444953,116.488625
1753012,323.54102
100736,367.19086
2062336,161.8008
1265232,305.35065
2277546,505.06964
2108138,374.6632
2081548,322.40155
1924720,149.85114
937345,378.4367
522546,495.16058
1986505,204.63211
2577747,356.66968
1572449,362.52332
2055524,383.71155
2863283,372.22815
1891422,105.952995
1703949,167.68251
2120133,290.3766
1905223,544.8685
1100769,342.27
2535368,221.52582
205861,463.32687
1089057,4.9028344
742428,565.96204
2676796,452.33044
1423823,372.87027
2654799,326.72858
1792654,721.98346
2908362,145.24496
443591,366.20438
953287,293.70856
2198906,240.375
720369,373.1576
2576361,374.2454
2569570,128.86479
105301,610.2662
641023,373.1576
151299,649.5222
209933,366.9312
1280694,245.72708
2881070,281.7558
1716478,374.97324
592854,369.03912
775776,330.79767
521645,368.59262
2379239,351.9641
2627907,383.24976
215503,1.3498633
1938948,530.608
962279,408.1532
1254293,348.25766
2475555,502.12747
2936585,74.24905
1105053,298.42307
188569,493.24207
